food_name|serving_size|serving_size_unit|description|energy|energy_unit|protein|protein_unit|total_fat|total_fat_unit|saturated_fat|saturated_fat_unit|dietary_fibre|dietary_fibre_unit|carbohydrate|carbohydrate_unit|cholesterol|cholesterol_unit|sodium|sodium_unit
Noodles, dried|70|g||233.05|kcal|7.56|g|0.77|g|0.32|g|2.31|g|49|g|58.8|mg|429.8|mg
Noodles, dried, instant, without seasoning|68|g|Mee kering, segera|288.32|kcal|6.66|g|9.66|g|4.88|g|0.48|g|43.66|g|||70.04|mg
Noodles, egg, cooked, unenriched|160|g|Cooked without added salt|220.8|kcal|7.2|g|3.36|g|0.67|g|1.92|g|38.34|g|46.4|mg|8|mg
Noodles, egg, dry, unenriched|38|g||144.78|kcal|5.4|g|1.67|g|0.46|g|1.25|g|25.83|g|31.92|mg|7.98|mg
Noodles, instant, chicken abalone flavour, drained, without seasoning|170|g|Noodles, cooked in boiling water, drained|389.3|kcal|8.5|g|14.11|g|6.73|g|2.38|g|57.12|g|||103.7|mg
Noodles, instant, chicken abalone flavour,with seasoning, cooked|496|g|Noodles, cooked, added seasoning to the soup|421.6|kcal|8.93|g|16.37|g|7.59|g|2.48|g|59.52|g|||1740.96|mg
Noodles, instant, chicken abalone, with seasoning, uncooked|85|g||382.5|kcal|8|g|14.96|g|7.58|g|3|g|53.98|g|||1890.4|mg
Noodles, instant, chicken curry, with seasoning, uncooked|85|g||384.78|kcal|8.42|g|13.86|g|6.12|g|0.26|g|56.1|g|3.4|mg|1500|mg
Noodles, instant, chicken tanmen, with seasoning, uncooked|85|g||379.1|kcal|7.98|g|14.97|g|7.57|g|2.99|g|53.87|g|1.01|mg|1885.3|mg
Noodles, instant, cooked (HCS)|500|g|Soup-based instant noodles|480|kcal|13|g|13.5|g|6.75|g|3.5|g|76|g|||1395|mg
Noodles, instant, dry, with seasoning, cooked|160|g|Instant mee goreng|329.6|kcal|8.32|g|14.42|g|6.5|g|1.44|g|41.6|g|||827.2|mg
Noodles, instant, shrimp tanmen, with seasoning, uncooked|85|g||379.95|kcal|7.26|g|14|g|7.07|g|3|g|53.98|g|||1889.98|mg
Noodles, instant, soup with seasoning, cooked|503|g|Instant noodles soup|467.79|kcal|12.58|g|18.81|g|9.71|g|3.02|g|61.87|g|||2278.59|mg
Noodles, laksa, thick, dried|128|g||443.9|kcal|10.24|g|0.26|g|0.04|g|2.3|g|100.1|g|||1.28|mg
Noodles, laksa, thick, wet|118|g||182.75|kcal|0.24|g|0.12|g|0.05|g|0.47|g|45.08|g|||22.42|mg
Noodles, rice|200|g|Values based on 90g raw noodles (assume yield similar to kway teow)|312|kcal|3.4|g|0.9|g|0.18|g|2.7|g|72.2|g|||19.26|mg
Noodles, sago, dried|1|g||3.32|kcal|||||||||0.83|g|||0.13|mg
Noodles, soya bean|98|g||343|kcal|12.25|g|0.49|g|||||72.42|g|||670.32|mg
Noodles, with prawn, tofu and vegetables, soup|741.95|g|Mee soup, Noodles, yellow, W/ prawn, tofu and vegetables, soup|455.14|kcal|25.36|g|21.44|g|7.91|g|8.62|g|40.24|g|76.57|mg|1359.01|mg
Nougat, apricot|70|g||258.99|kcal|1.61|g|3.29|g|||0.49|g|55.23|g|||4.2|mg
Nutmeg, fresh|136|g||568.75|kcal|8.25|g|40.59|g|29|g|23.2|g|42.71|g|||2.23|mg
Nutmeg, ground|2.2|g||11.54|kcal|0.13|g|0.8|g|0.57|g|0.46|g|1.08|g|||0.36|mg
Nutmeg, pickled|23|g|Jeruk buah pala|54.74|kcal|0.05|g|0.05|g|||||13.55|g|||71.3|mg
Nutrifos 088 sodium tripolyphosphate|1|g||||||||||||||||31.1|mg
Nutrigrain, kelloggs|44|g||168.37|kcal|9.24|g|1.19|g|0.18|g|2.68|g|31.46|g|||293.04|mg
Nuts, almonds|143|g||330.62|kcal|12.16|g|28.97|g|2.22|g|6.75|g|11.29|g|||0.57|mg
Nuts, almonds, blanched|145|g||842.45|kcal|31.81|g|73.4|g|5.64|g|15.08|g|28.91|g|||40.6|mg
Nuts, almonds, dry roasted, with salt added|138|g||821.1|kcal|28.98|g|71.83|g|5.56|g|15.04|g|14.21|g|||467.82|mg
Nuts, brazil nuts, dried, unblanched|133|g||444.96|kcal|9.71|g|45.06|g|10.27|g|5.09|g|8.32|g|||2.03|mg
Nuts, candlenut|11.4|g||21.32|kcal|0.58|g|1.99|g|||||0.27|g|||0.83|mg
Nuts, cashew nut, raw|2.4|g||9.59|kcal|0.35|g|0.77|g|0.14|g|0.05|g|0.31|g|||0.33|mg
Nuts, cashew nuts, dry roasted, without salt added|137|g||786.38|kcal|20.97|g|63.5|g|12.55|g|4.11|g|40.68|g|||21.92|mg
Nuts, cashew nuts, oil roasted, with salt added|129|g||749.49|kcal|21.72|g|61.62|g|10.94|g|4.26|g|38.91|g|||397.32|mg
Nuts, chestnut, Chinese|9|g||16.55|kcal|0.32|g|0.25|g|0.04|g|0.44|g|3.27|g|||0.36|mg
Nuts, chestnuts, Chinese, dried|240|g||871.2|kcal|16.37|g|4.34|g|0.64|g|5.28|g|191.42|g|||12|mg
Nuts, chestnuts, Chinese, roasted|239.4|g||429.12|kcal|8.04|g|2.14|g|0.31|g|||94.01|g|||7.18|mg
Nuts, gingko nuts, boiled|21|g||34.63|kcal|0.9|g|0.27|g|0.02|g|0.04|g|7.14|g|||0.63|mg
Nuts, gingko nuts, raw|1.56|g||2.68|kcal|0.07|g|0.03|g|0|g|0|g|0.54|g|||0.02|mg
Nuts, hazelnuts|140|g||404.43|kcal|9.63|g|39.12|g|2.87|g|6.25|g|10.75|g||||
Nuts, mixed nuts, oil roasted, with peanuts, with salt added|142|g||876.14|kcal|23.8|g|79.99|g|12.39|g|12.78|g|30.4|g|||594.98|mg
Nuts, mixed, deep fried|94|g|Mixed nuts, contained whole almonds, peanuts, green peas, rice crackers, vegetable oil, sugar and salt|485.51|kcal|17.59|g|36.58|g|8.79|g|8.55|g|21.51|g|7.52|mg|410.69|mg
Nuts, peanut, salted, dry roasted|155|g||965.65|kcal|38.75|g|82.15|g|12.56|g|9.92|g|17.83|g|||651|mg
Nuts, peanut, with shell, dry roasted|56|g||217.31|kcal|10.56|g|18.2|g|2.6|g|3.97|g|3.09|g|||2.18|mg
Nuts, peanuts, all types, oil-roasted, with salt|144|g||862.56|kcal|40.36|g|75.6|g|12.49|g|13.54|g|21.97|g|||460.8|mg
Nuts, peanuts, all types, oil-roasted, without salt|133|g||772.73|kcal|35.05|g|65.57|g|9.1|g|9.18|g|25.16|g|||7.98|mg
Nuts, pine nut, raw|14|g||98|kcal|1.82|g|9.8|g|0.59|g|0.71|g|0.63|g|||0.42|mg
Nuts, pistachio nuts, dry roasted, with salt added|.7|g||3.95|kcal|0.15|g|0.31|g|0.04|g|0.07|g|0.13|g|||3|mg
Nuts, pistachio nuts, dry roasted, without salt added|128|g||380.06|kcal|14.21|g|30.6|g|3.69|g|6.86|g|18.4|g|||6.66|mg
Nuts, pistachio nuts, raw|123|g||363.11|kcal|13.44|g|28.97|g|3.55|g|6.71|g|18.23|g|||0.65|mg
Oat biscuit, with hazelnut (HCS)|8.6|g||41.28|kcal|0.77|g|1.63|g|0.6|g|0.69|g|5.85|g|||17.37|mg
Oat fibre|94|g||14.1|kcal|0.49|g|0.28|g|||88.36|g|88.36|g|1.88|mg|65.8|mg
Oat, bran, raw|11|g|The rough outer covering of the oat (located under the husk), that has not undergone further processing other than packaging.|39.68|kcal|1.77|g|0.77|g|||1.75|g|5.5|g|||0.44|mg
Oat, processed, tinned|43|g||158.67|kcal|5.07|g|1.72|g|0.65|g|2.28|g|30.7|g|||3.44|mg
Oat, rolled, boiled|260|g|Rolled oats boiled with water only, without the addition of salt.|169.81|kcal|5.2|g|3.64|g|0.52|g|4.42|g|26.52|g|||2.6|mg
Oat, rolled, raw|95|g|Crushed grain produced by steaming and flattening the oats with rollers. No further cooking. Includes traditional and quick cooking styles|357.28|kcal|10.45|g|8.26|g|3.14|g|9.03|g|55.2|g|||6.65|mg
